Date,Symbol,Close,High,Low,Open,Volume,day_of_week,is_weekend,days_since_last_trade
2024-02-25,GOOGL,143.1017761,,,,,6,True,2
2024-03-03,GOOGL,136.3224182,,,,,6,True,2
2024-03-10,GOOGL,134.6027374,,,,,6,True,2
2024-03-17,GOOGL,140.3383179,,,,,6,True,2
2024-03-24,GOOGL,149.87117,,,,,6,True,2
2024-03-30,GOOGL,150.0302124,,,,,5,True,2
2024-03-31,GOOGL,150.0302124,,,,,6,True,3
2024-04-07,GOOGL,151.5908508,,,,,6,True,2
2024-04-14,GOOGL,156.7896881,,,,,6,True,2
2024-04-21,GOOGL,153.1713867,,,,,6,True,2
2024-04-28,GOOGL,170.9249115,,,,,6,True,2
2024-05-05,GOOGL,166.2429962,,,,,6,True,2
2024-05-12,GOOGL,167.6445465,,,,,6,True,2
2024-05-19,GOOGL,175.0104065,,,,,6,True,2
2024-05-26,GOOGL,173.9467773,,,,,6,True,2
2024-06-02,GOOGL,171.4716187,,,,,6,True,2
2024-06-09,GOOGL,173.4199524,,,,,6,True,2
2024-06-16,GOOGL,175.9377289,,,,,6,True,2
2024-06-23,GOOGL,178.7640533,,,,,6,True,2
2024-06-30,GOOGL,181.2719116,,,,,6,True,2
2024-07-07,GOOGL,189.6811829,,,,,6,True,2
2024-07-14,GOOGL,184.1778412,,,,,6,True,2
2024-07-21,GOOGL,176.8035431,,,,,6,True,2
2024-07-28,GOOGL,166.1949463,,,,,6,True,2
2024-08-04,GOOGL,165.8565826,,,,,6,True,2
2024-08-11,GOOGL,162.8809814,,,,,6,True,2
2024-08-18,GOOGL,162.1744232,,,,,6,True,2
2024-08-25,GOOGL,164.821579,,,,,6,True,2
2024-09-01,GOOGL,162.592392,,,,,6,True,2
2024-09-08,GOOGL,150.1924591,,,,,6,True,2
2024-09-15,GOOGL,156.9088745,,,,,6,True,2
2024-09-22,GOOGL,163.0174103,,,,,6,True,2
2024-09-29,GOOGL,163.3761444,,,,,6,True,2
2024-10-06,GOOGL,166.4752502,,,,,6,True,2
2024-10-13,GOOGL,162.6686249,,,,,6,True,2
2024-10-20,GOOGL,162.8480072,,,,,6,True,2
2024-10-27,GOOGL,164.6915283,,,,,6,True,2
2024-11-03,GOOGL,170.6904449,,,,,6,True,2
2024-11-10,GOOGL,177.7257385,,,,,6,True,2
2024-11-17,GOOGL,171.886261,,,,,6,True,2
2024-11-24,GOOGL,164.1833038,,,,,6,True,2
2024-12-01,GOOGL,168.3586426,,,,,6,True,2
2024-12-08,GOOGL,174.0985107,,,,,6,True,2
2024-12-15,GOOGL,189.3723907,,,,,6,True,2
2024-12-22,GOOGL,190.9586334,,,,,6,True,2
2024-12-29,GOOGL,192.3054504,,,,,6,True,2
2025-01-05,GOOGL,191.337738,,,,,6,True,2
2025-01-12,GOOGL,191.5871429,,,,,6,True,2
2025-01-19,GOOGL,195.537796,,,,,6,True,2
2025-01-26,GOOGL,199.7378845,,,,,6,True,2
2025-02-02,GOOGL,203.5389099,,,,,6,True,2
2025-02-09,GOOGL,184.9029388,,,,,6,True,2
2025-02-16,GOOGL,184.7931976,,,,,6,True,2
2025-02-23,GOOGL,179.2363434,,,,,6,True,2
2025-03-02,GOOGL,169.8784485,,,,,6,True,2
2025-03-09,GOOGL,173.4500275,,,,,6,True,2
2025-03-16,GOOGL,165.2899017,,,,,6,True,2
2025-03-23,GOOGL,163.7917175,,,,,6,True,2
2025-03-30,GOOGL,154.1434021,,,,,6,True,2
2025-04-06,GOOGL,145.4239502,,,,,6,True,2
2025-04-13,GOOGL,156.9499969,,,,,6,True,2
2025-04-19,GOOGL,150.9772339,,,,,5,True,2
2025-04-20,GOOGL,150.9772339,,,,,6,True,3
2025-04-27,GOOGL,161.7641754,,,,,6,True,2
2025-05-04,GOOGL,163.831665,,,,,6,True,2
2025-05-11,GOOGL,152.5653076,,,,,6,True,2
2025-05-18,GOOGL,165.9890594,,,,,6,True,2
2025-05-25,GOOGL,168.2662964,,,,,6,True,2
2025-06-01,GOOGL,171.5323486,,,,,6,True,2
2025-06-08,GOOGL,173.469986,,,,,6,True,2
2025-06-15,GOOGL,174.6699982,,,,,6,True,2
2025-06-22,GOOGL,166.6399994,,,,,6,True,2
2025-06-29,GOOGL,178.5299988,,,,,6,True,2
2025-07-05,GOOGL,179.5299988,,,,,5,True,2
2025-07-06,GOOGL,179.5299988,,,,,6,True,3
2025-07-13,GOOGL,180.1900024,,,,,6,True,2
2025-07-20,GOOGL,185.0599976,,,,,6,True,2
2025-07-27,GOOGL,193.1799927,,,,,6,True,2
2025-08-03,GOOGL,189.1300049,,,,,6,True,2
2025-08-10,GOOGL,201.4199982,,,,,6,True,2
2025-08-17,GOOGL,203.8999939,,,,,6,True,2
